REFERENCE	 DEGRADED	 PESQMOS	 SAMPLE_FREQ
 g729char\exp1\original\d\d_m01s10.src	 g729char\exp1\coded\d\de1m0a10.out	3.189	16000
 g729char\exp1\original\d\d_m02s10.src	 g729char\exp1\coded\d\de1m3610.out	3.252	16000
 g729char\exp1\original\d\d_f01s11.src	 g729char\exp1\coded\d\de1f6311.out	3.513	16000
 g729char\exp1\original\d\d_f02s11.src	 g729char\exp1\coded\d\de1f8f11.out	3.21	16000
 g729char\exp1\original\d\d_m01s11.src	 g729char\exp1\coded\d\de1m0b11.out	3.779	16000
 g729char\exp1\original\d\d_m02s11.src	 g729char\exp1\coded\d\de1m3711.out	3.67	16000
 g729char\exp1\original\d\d_f01s12.src	 g729char\exp1\coded\d\de1f6412.out	3.33	16000
 g729char\exp1\original\d\d_f02s12.src	 g729char\exp1\coded\d\de1f9012.out	3.121	16000
 g729char\exp1\original\d\d_m01s12.src	 g729char\exp1\coded\d\de1m0c12.out	3.622	16000
 g729char\exp1\original\d\d_m02s12.src	 g729char\exp1\coded\d\de1m3812.out	3.589	16000
 g729char\exp1\original\d\d_f01s13.src	 g729char\exp1\coded\d\de1f6513.out	3.037	16000
 g729char\exp1\original\d\d_f02s13.src	 g729char\exp1\coded\d\de1f9113.out	2.696	16000
 g729char\exp1\original\d\d_m01s13.src	 g729char\exp1\coded\d\de1m0d13.out	3.463	16000
 g729char\exp1\original\d\d_m02s13.src	 g729char\exp1\coded\d\de1m3913.out	3.477	16000
 g729char\exp1\original\d\d_f01s14.src	 g729char\exp1\coded\d\de1f6614.out	2.819	16000
 g729char\exp1\original\d\d_f02s14.src	 g729char\exp1\coded\d\de1f9214.out	2.707	16000
 g729char\exp1\original\d\d_m01s14.src	 g729char\exp1\coded\d\de1m0e14.out	3.247	16000
 g729char\exp1\original\d\d_m02s14.src	 g729char\exp1\coded\d\de1m3a14.out	3.328	16000
 g729char\exp1\original\d\d_f01s15.src	 g729char\exp1\coded\d\de1f6715.out	2.925	16000
 g729char\exp1\original\d\d_f02s15.src	 g729char\exp1\coded\d\de1f9315.out	2.744	16000
 g729char\exp1\original\d\d_m01s15.src	 g729char\exp1\coded\d\de1m0f15.out	3.117	16000
 g729char\exp1\original\d\d_m02s15.src	 g729char\exp1\coded\d\de1m3b15.out	3.068	16000
 g729char\exp1\original\d\d_f01s16.src	 g729char\exp1\coded\d\de1f6816.out	3.471	16000
 g729char\exp1\original\d\d_f02s16.src	 g729char\exp1\coded\d\de1f9416.out	3.47	16000
 g729char\exp1\original\d\d_m01s16.src	 g729char\exp1\coded\d\de1m1016.out	3.759	16000
 g729char\exp1\original\d\d_m02s16.src	 g729char\exp1\coded\d\de1m3c16.out	3.603	16000
 g729char\exp1\original\d\d_f01s17.src	 g729char\exp1\coded\d\de1f6917.out	3.446	16000
 g729char\exp1\original\d\d_f02s17.src	 g729char\exp1\coded\d\de1f9517.out	3.25	16000
 g729char\exp1\original\d\d_m01s17.src	 g729char\exp1\coded\d\de1m1117.out	3.543	16000
 g729char\exp1\original\d\d_m02s17.src	 g729char\exp1\coded\d\de1m3d17.out	3.619	16000
 g729char\exp1\original\d\d_f01s18.src	 g729char\exp1\coded\d\de1f6a18.out	3.306	16000
 g729char\exp1\original\d\d_f02s18.src	 g729char\exp1\coded\d\de1f9618.out	3.165	16000
 g729char\exp1\original\d\d_m01s18.src	 g729char\exp1\coded\d\de1m1218.out	3.453	16000
 g729char\exp1\original\d\d_m02s18.src	 g729char\exp1\coded\d\de1m3e18.out	3.4	16000
 g729char\exp1\original\d\d_f01s19.src	 g729char\exp1\coded\d\de1f6b19.out	2.948	16000
 g729char\exp1\original\d\d_f02s19.src	 g729char\exp1\coded\d\de1f9719.out	2.777	16000
 g729char\exp1\original\d\d_m01s19.src	 g729char\exp1\coded\d\de1m1319.out	3.232	16000
 g729char\exp1\original\d\d_m02s19.src	 g729char\exp1\coded\d\de1m3f19.out	3.485	16000
 g729char\exp1\original\d\d_f01s20.src	 g729char\exp1\coded\d\de1f6c20.out	2.922	16000
 g729char\exp1\original\d\d_f02s20.src	 g729char\exp1\coded\d\de1f9820.out	2.703	16000
 g729char\exp1\original\d\d_m01s20.src	 g729char\exp1\coded\d\de1m1420.out	2.934	16000
 g729char\exp1\original\d\d_m02s20.src	 g729char\exp1\coded\d\de1m4020.out	2.793	16000
 g729char\exp1\original\d\d_f01s21.src	 g729char\exp1\coded\d\de1f6d21.out	2.772	16000
 g729char\exp1\original\d\d_f02s21.src	 g729char\exp1\coded\d\de1f9921.out	2.623	16000
 g729char\exp1\original\d\d_m01s21.src	 g729char\exp1\coded\d\de1m1521.out	3.307	16000
 g729char\exp1\original\d\d_m02s21.src	 g729char\exp1\coded\d\de1m4121.out	3.208	16000
 g729char\exp1\original\d\d_f01s22.src	 g729char\exp1\coded\d\de1f6e22.out	2.801	16000
 g729char\exp1\original\d\d_f02s22.src	 g729char\exp1\coded\d\de1f9a22.out	2.416	16000
 g729char\exp1\original\d\d_m01s22.src	 g729char\exp1\coded\d\de1m1622.out	2.953	16000
 g729char\exp1\original\d\d_m02s22.src	 g729char\exp1\coded\d\de1m4222.out	2.944	16000
 g729char\exp1\original\d\d_f01s23.src	 g729char\exp1\coded\d\de1f6f23.out	2.693	16000
 g729char\exp1\original\d\d_f02s23.src	 g729char\exp1\coded\d\de1f9b23.out	2.432	16000
 g729char\exp1\original\d\d_m01s23.src	 g729char\exp1\coded\d\de1m1723.out	2.789	16000
